Q1,Q2,Q3_a,Q3_b,Q3_c,Q3_d,Q3_e,Q3_f,Q3_g,Q3_h,Q3_i,Q4_a,Q4_b,Q4_c,Q4_d,Q4_e,Q5_a,Q5_b,Q5_c,Q5_d,Q5_e,Q6,labels
2.0,2.0,3,5,4,3,5,4,4,4,5,2,1,2,1,2,0,3,3,4,4,1,0
4.0,2.0,5,5,4,5,5,4,5,5,4,5,4,5,2,5,4,5,0,5,4,3,1
4.0,2.0,5,5,3,5,5,5,5,5,5,5,3,5,4,5,5,5,3,5,5,3,1
4.0,2.0,3,4,0,0,4,4,5,5,3,5,2,4,2,1,2,3,4,4,4,3,0
2.0,2.0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,1,1,5,5,5,1,0
3.0,2.0,5,4,2,3,5,3,4,5,5,4,4,2,1,3,4,4,4,4,0,3,0
4.0,2.0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1
4.0,2.0,4,4,5,4,5,5,5,5,5,4,4,5,4,3,4,4,4,4,4,3,1
2.0,2.0,4,5,2,5,4,4,4,4,0,5,2,5,5,5,4,5,3,5,3,3,1
4.0,0.0,5,5,5,5,5,5,0,5,5,5,1,1,0,1,0,0,0,0,0,2,2
